variant,tau_3y,prec_3y,tau_3y_preCOVID,tau_1y,delta_tau_3y
Full model,0.44438848907785133,0.6666666666666666,0.6015173547367715,0.48481329628657555,0.0
- net_migration,0.2939943979587967,0.5499999999999999,0.3568322040206608,0.39954587797027985,-0.1503940911190546
- job_growth,0.3790754287268139,0.6000000000000001,0.47938982665340724,0.4598712665439297,-0.06531306035103746
- income_growth,0.45903245385316715,0.6666666666666666,0.623099564039325,0.49723473517558886,0.01464396477531582
- population_growth,0.4318474381520217,0.65,0.5723279937397643,0.4955847122194673,-0.012541050925829633
- permits_to_stock,0.40953434859762305,0.5833333333333334,0.6245323050559488,0.41119564316804624,-0.03485414048022828
- mf_pipeline,0.43034627054772573,0.6333333333333334,0.6065321349426165,0.4672957412299627,-0.014042218530125605
- rent_to_income,0.4221927556132891,0.6333333333333333,0.597648211746333,0.48714373194000654,-0.022195733464562217
- cost_to_own_vs_rent,0.4698215660241765,0.6666666666666666,0.6072279968106014,0.48629740742203503,0.025433076946325184
- trailing_rent_growth,0.39725841064336515,0.6,0.5424907841761915,0.3553666489655723,-0.04713007843448619
- employment_diversity,0.4516788537316135,0.6833333333333332,0.6150603002492221,0.4873082951716413,0.007290364653762149
- bucket: Demand,0.051836260599632145,0.4166666666666667,-0.028786782531433172,0.22159083372346272,-0.3925522284782192
- bucket: Supply,0.37985463259531244,0.46666666666666673,0.5876976713709158,0.37107886002823215,-0.0645338564825389
- bucket: Affordability,0.46879272081688733,0.65,0.6245252963634208,0.5124968376521964,0.024404231739035998
- bucket: Momentum,0.39725841064336515,0.6,0.5424907841761915,0.3553666489655723,-0.04713007843448619
- bucket: Resilience,0.4516788537316135,0.6833333333333332,0.6150603002492221,0.4873082951716413,0.007290364653762149
