,net_migration,job_growth,income_growth,population_growth,permits_to_stock,mf_pipeline,rent_to_income,cost_to_own_vs_rent,trailing_rent_growth,employment_diversity
net_migration,1.0,0.4907814175562742,0.07974943557603863,0.6153793551262854,-0.6135900392062915,-0.22712114264169606,-0.008789145940080878,-0.21278850861490625,0.45515814057210474,0.019631198299184614
job_growth,0.4907814175562742,1.0,0.28002353362335414,0.471255806375638,-0.6379026724889244,-0.49010418806204087,-0.2594453908045112,0.17805109705986655,0.3518797488697829,0.012956216904545395
income_growth,0.07974943557603863,0.28002353362335414,1.0,0.1811407917610321,-0.2195489200048699,-0.28952042528495286,-0.036147394783230966,0.22948361861884414,0.1395347553938629,0.06316141793102421
population_growth,0.6153793551262854,0.471255806375638,0.1811407917610321,1.0,-0.6384714931398077,-0.3824914910035662,-0.06029989440355079,0.030898024658050815,0.3032368242284879,0.0187680708581891
permits_to_stock,-0.6135900392062915,-0.6379026724889244,-0.2195489200048699,-0.6384714931398077,1.0,0.7709264220935061,0.09814909400470927,-0.14968019414931333,-0.19178007850709503,0.010107710549091032
mf_pipeline,-0.22712114264169606,-0.49010418806204087,-0.28952042528495286,-0.3824914910035662,0.7709264220935061,1.0,0.08559079941000815,-0.39610580473375345,-0.0678849097276183,-0.15486949424257496
rent_to_income,-0.008789145940080878,-0.2594453908045112,-0.036147394783230966,-0.06029989440355079,0.09814909400470927,0.08559079941000815,1.0,-0.2815783202033973,-0.1566783929070919,-0.1433679472577152
cost_to_own_vs_rent,-0.21278850861490625,0.17805109705986655,0.22948361861884414,0.030898024658050815,-0.14968019414931333,-0.39610580473375345,-0.2815783202033973,1.0,-0.022792367102766616,0.21487367767347876
trailing_rent_growth,0.45515814057210474,0.3518797488697829,0.1395347553938629,0.3032368242284879,-0.19178007850709503,-0.0678849097276183,-0.1566783929070919,-0.022792367102766616,1.0,0.04055913658189294
employment_diversity,0.019631198299184614,0.012956216904545395,0.06316141793102421,0.0187680708581891,0.010107710549091032,-0.15486949424257496,-0.1433679472577152,0.21487367767347876,0.04055913658189294,1.0
