cbsa_code,lat,lon
10420,41.146639,-81.35011
10580,42.78792,-73.942348
10740,35.123496,-106.458392
10900,40.789339,-75.398158
12060,33.732402,-84.392848
12260,33.460371,-81.982833
12420,30.249744,-97.649842
12540,35.346629,-118.729506
12580,39.304361,-76.549501
12940,30.515242,-91.126926
13820,33.462372,-86.814338
14260,43.006648,-116.141909
14460,42.517606,-71.021993
14860,41.252442,-73.393266
15380,43.044371,-78.777335
15980,26.563273,-81.984182
16700,33.01754,-80.009947
16740,35.166342,-80.797285
16860,35.049361,-85.361158
16980,41.75878,-87.841887
17140,39.078585,-84.463514
17410,41.667548,-81.43052
17820,38.845507,-104.638728
17900,34.077585,-81.037845
18140,39.968562,-82.835911
19100,32.849171,-96.970489
19430,39.829746,-84.140992
19660,29.1789,-81.189023
19740,39.434789,-104.901073
19780,41.57705,-93.759712
19820,42.721848,-83.200846
20500,35.995536,-79.09699
21340,31.527394,-105.521333
22220,36.116394,-94.079545
23420,36.879404,-119.668488
24340,42.979841,-85.715614
24660,36.025204,-79.792633
24860,34.683709,-82.413423
25420,40.335915,-77.05049
25540,41.688038,-72.545112
26420,29.801005,-95.34262
26620,34.783262,-86.734871
26900,39.790533,-86.12426
27140,32.426311,-90.136422
27260,30.234184,-81.756033
28140,38.931857,-94.443841
28660,31.20273,-97.789638
28880,41.575274,-74.033873
28940,36.044462,-84.136114
29460,27.953685,-81.693493
29540,40.041992,-76.250198
29820,36.21413,-115.014398
30460,38.102876,-84.438545
30780,34.755773,-92.400589
31080,34.108703,-118.182753
31140,38.224363,-85.701989
31540,43.083846,-89.597745
32580,26.396384,-98.18099
32820,35.010307,-89.820503
33100,26.101828,-80.478755
33340,42.912643,-87.862312
33460,45.096664,-93.275361
33700,37.562316,-121.002831
34980,36.091577,-86.72298
35300,41.290167,-72.837024
35380,29.282447,-89.576068
35620,40.735425,-73.80773
35840,27.329055,-82.414533
36260,41.124342,-111.866933
36420,35.430968,-97.506966
36540,41.290459,-95.99997
36740,28.434396,-81.356084
37100,34.358748,-119.133145
37340,28.298311,-80.700333
37860,30.608557,-87.158547
37980,39.894958,-75.311982
38060,33.185765,-112.067862
38300,40.471332,-79.863986
38860,43.651417,-70.418375
38900,45.600622,-122.484378
38940,27.228046,-80.425388
39300,41.70684,-71.286687
39340,39.872067,-112.359059
39580,35.756746,-78.460441
39900,40.251057,-119.555507
40060,37.411324,-77.441816
40140,34.538476,-116.134541
40380,43.184718,-77.556558
40900,38.790272,-121.005643
41180,38.740211,-90.345825
41620,40.572887,-112.953253
41700,29.43306,-98.606973
41740,33.023604,-116.776117
41860,37.773718,-122.274432
41940,36.908472,-121.371372
42540,41.322881,-75.898188
42660,47.490552,-121.833977
44060,48.091618,-117.663472
44700,37.934982,-121.272244
45060,43.006516,-76.196134
45300,28.120541,-82.525188
45780,41.544357,-83.690777
46060,32.128038,-111.783657
46140,36.254442,-96.177298
46520,21.461365,-158.201974
47260,36.837289,-76.391849
47900,38.829787,-77.495684
48620,37.637896,-97.246287
49180,36.078852,-80.345064
49340,42.311693,-71.940282
